,0,1,2,3
261,3583,3583,<,TAG_OPEN
262,3584,3584,/,TAG_SLASH
263,3585,3587,div,TAG_NAME
264,3588,3588,>,TAG_CLOSE
265,3589,3589,<,TAG_OPEN
266,3590,3590,/,TAG_SLASH
267,3591,3596,header,TAG_NAME
268,3597,3597,>,TAG_CLOSE
269,3598,3598,<,TAG_OPEN
270,3599,3601,div,TAG_NAME
271,3602,3602, ,TAG_WHITESPACE
272,3603,3607,class,TAG_NAME
273,3608,3608,=,TAG_EQUALS
274,3609,3625,"""container-fluid""",ATTVALUE_VALUE
275,3626,3626,>,TAG_CLOSE
276,3627,3627,<,TAG_OPEN
277,3628,3630,div,TAG_NAME
278,3631,3631, ,TAG_WHITESPACE
279,3632,3636,class,TAG_NAME
280,3637,3637,=,TAG_EQUALS
281,3638,3642,"""row""",ATTVALUE_VALUE
282,3643,3643,>,TAG_CLOSE
283,3644,3644,<,TAG_OPEN
284,3645,3647,nav,TAG_NAME
285,3648,3648, ,TAG_WHITESPACE
286,3649,3650,id,TAG_NAME
287,3651,3651,=,TAG_EQUALS
288,3652,3664,"""sidebarMenu""",ATTVALUE_VALUE
289,3665,3665, ,TAG_WHITESPACE
290,3666,3670,class,TAG_NAME
291,3671,3671,=,TAG_EQUALS
292,3672,3727,"""col-md-3 col-lg-2 d-md-block bg-light sidebar collapse""",ATTVALUE_VALUE
293,3728,3728,>,TAG_CLOSE
294,3729,3729,<,TAG_OPEN
295,3730,3732,div,TAG_NAME
296,3733,3733, ,TAG_WHITESPACE
297,3734,3738,class,TAG_NAME
298,3739,3739,=,TAG_EQUALS
299,3740,3776,"""position-sticky pt-3 sidebar-sticky""",ATTVALUE_VALUE
300,3777,3777,>,TAG_CLOSE
301,3778,3778,<,TAG_OPEN
302,3779,3780,ul,TAG_NAME
303,3781,3781, ,TAG_WHITESPACE
304,3782,3786,class,TAG_NAME
305,3787,3787,=,TAG_EQUALS
306,3788,3804,"""nav flex-column""",ATTVALUE_VALUE
307,3805,3805,>,TAG_CLOSE
308,3806,3806,<,TAG_OPEN
309,3807,3808,li,TAG_NAME
310,3809,3809, ,TAG_WHITESPACE
311,3810,3814,class,TAG_NAME
312,3815,3815,=,TAG_EQUALS
313,3816,3825,"""nav-item""",ATTVALUE_VALUE
314,3826,3826,>,TAG_CLOSE
315,3827,3827,<,TAG_OPEN
316,3828,3828,a,TAG_NAME
317,3829,3829, ,TAG_WHITESPACE
318,3830,3834,class,TAG_NAME
319,3835,3835,=,TAG_EQUALS
320,3836,3852,"""nav-link active""",ATTVALUE_VALUE
321,3853,3853, ,TAG_WHITESPACE
322,3854,3865,aria-current,TAG_NAME
323,3866,3866,=,TAG_EQUALS
324,3867,3872,"""page""",ATTVALUE_VALUE
325,3873,3876,href,TAG_NAME
326,3877,3877,=,TAG_EQUALS
327,3878,3880,"""#""",ATTVALUE_VALUE
328,3881,3881,>,TAG_CLOSE
329,3882,3890,Dashboard,HTML_TEXT
330,3891,3891,<,TAG_OPEN
331,3892,3892,/,TAG_SLASH
332,3893,3893,a,TAG_NAME
333,3894,3894,>,TAG_CLOSE
334,3895,3895,<,TAG_OPEN
335,3896,3896,/,TAG_SLASH
336,3897,3898,li,TAG_NAME
337,3899,3899,>,TAG_CLOSE
338,3900,3900,<,TAG_OPEN
339,3901,3902,li,TAG_NAME
340,3903,3903, ,TAG_WHITESPACE
341,3904,3908,class,TAG_NAME
342,3909,3909,=,TAG_EQUALS
343,3910,3919,"""nav-item""",ATTVALUE_VALUE
344,3920,3920,>,TAG_CLOSE
345,3921,3921,<,TAG_OPEN
346,3922,3922,a,TAG_NAME
347,3923,3923, ,TAG_WHITESPACE
348,3924,3928,class,TAG_NAME
349,3929,3929,=,TAG_EQUALS
350,3930,3939,"""nav-link""",ATTVALUE_VALUE
351,3940,3940, ,TAG_WHITESPACE
352,3941,3944,href,TAG_NAME
353,3945,3945,=,TAG_EQUALS
354,3946,3948,"""#""",ATTVALUE_VALUE
355,3949,3949,>,TAG_CLOSE
356,3950,3956,Reports,HTML_TEXT
357,3957,3957,<,TAG_OPEN
358,3958,3958,/,TAG_SLASH
359,3959,3959,a,TAG_NAME
360,3960,3960,>,TAG_CLOSE
361,3961,3961,<,TAG_OPEN
362,3962,3962,/,TAG_SLASH
363,3963,3964,li,TAG_NAME
364,3965,3965,>,TAG_CLOSE
365,3966,3966,<,TAG_OPEN
366,3967,3967,/,TAG_SLASH
367,3968,3969,ul,TAG_NAME
368,3970,3970,>,TAG_CLOSE
369,3971,3971,<,TAG_OPEN
370,3972,3973,h6,TAG_NAME
371,3974,3974, ,TAG_WHITESPACE
372,3975,3979,class,TAG_NAME
373,3980,3980,=,TAG_EQUALS
374,3981,4088,"""sidebar-heading d-flex justify-content-between align-items-center px-3 mt-4 mb-1 text-muted text-uppercase""",ATTVALUE_VALUE
375,4089,4089,>,TAG_CLOSE
376,4090,4090,<,TAG_OPEN
377,4091,4094,span,TAG_NAME
378,4095,4095,>,TAG_CLOSE
379,4096,4108,Saved reports,HTML_TEXT
380,4109,4109,<,TAG_OPEN
381,4110,4110,/,TAG_SLASH
382,4111,4114,span,TAG_NAME
383,4115,4115,>,TAG_CLOSE
384,4116,4116, ,SEA_WS
385,4117,4117,<,TAG_OPEN
386,4118,4118,a,TAG_NAME
387,4119,4119, ,TAG_WHITESPACE
388,4120,4124,class,TAG_NAME
389,4125,4125,=,TAG_EQUALS
390,4126,4141,"""link-secondary""",ATTVALUE_VALUE
391,4142,4142, ,TAG_WHITESPACE
392,4143,4146,href,TAG_NAME
393,4147,4147,=,TAG_EQUALS
394,4148,4150,"""#""",ATTVALUE_VALUE
395,4151,4160,aria-label,TAG_NAME
396,4161,4161,=,TAG_EQUALS
397,4162,4179,"""Add a new report""",ATTVALUE_VALUE
398,4180,4180,>,TAG_CLOSE
399,4181,4181,<,TAG_OPEN
400,4182,4182,/,TAG_SLASH
401,4183,4183,a,TAG_NAME
402,4184,4184,>,TAG_CLOSE
403,4185,4185,<,TAG_OPEN
404,4186,4186,/,TAG_SLASH
405,4187,4188,h6,TAG_NAME
406,4189,4189,>,TAG_CLOSE
407,4190,4190,<,TAG_OPEN
408,4191,4192,ul,TAG_NAME
409,4193,4193, ,TAG_WHITESPACE
410,4194,4198,class,TAG_NAME
411,4199,4199,=,TAG_EQUALS
412,4200,4221,"""nav flex-column mb-2""",ATTVALUE_VALUE
413,4222,4222,>,TAG_CLOSE
414,4223,4223,<,TAG_OPEN
415,4224,4225,li,TAG_NAME
416,4226,4226, ,TAG_WHITESPACE
417,4227,4231,class,TAG_NAME
418,4232,4232,=,TAG_EQUALS
419,4233,4242,"""nav-item""",ATTVALUE_VALUE
420,4243,4243,>,TAG_CLOSE
421,4244,4244,<,TAG_OPEN
422,4245,4245,a,TAG_NAME
423,4246,4246, ,TAG_WHITESPACE
424,4247,4251,class,TAG_NAME
425,4252,4252,=,TAG_EQUALS
426,4253,4262,"""nav-link""",ATTVALUE_VALUE
427,4263,4263, ,TAG_WHITESPACE
428,4264,4267,href,TAG_NAME
429,4268,4268,=,TAG_EQUALS
430,4269,4271,"""#""",ATTVALUE_VALUE
431,4272,4272,>,TAG_CLOSE
432,4273,4284,Currentmonth,HTML_TEXT
433,4285,4285,<,TAG_OPEN
434,4286,4286,/,TAG_SLASH
435,4287,4287,a,TAG_NAME
436,4288,4288,>,TAG_CLOSE
437,4289,4289,<,TAG_OPEN
438,4290,4290,/,TAG_SLASH
439,4291,4292,li,TAG_NAME
440,4293,4293,>,TAG_CLOSE
441,4294,4294,<,TAG_OPEN
442,4295,4295,/,TAG_SLASH
443,4296,4297,ul,TAG_NAME
444,4298,4298,>,TAG_CLOSE
445,4299,4299,<,TAG_OPEN
446,4300,4300,/,TAG_SLASH
447,4301,4303,div,TAG_NAME
448,4304,4304,>,TAG_CLOSE
449,4305,4305,<,TAG_OPEN
450,4306,4306,/,TAG_SLASH
451,4307,4309,nav,TAG_NAME
452,4310,4310,>,TAG_CLOSE
453,4311,4311,<,TAG_OPEN
454,4312,4315,main,TAG_NAME
455,4316,4316, ,TAG_WHITESPACE
456,4317,4321,class,TAG_NAME
457,4322,4322,=,TAG_EQUALS
458,4323,4361,"""col-md-9 ms-sm-auto col-lg-10 px-md-4""",ATTVALUE_VALUE
459,4362,4362,>,TAG_CLOSE
460,4363,4363,<,TAG_OPEN
461,4364,4366,div,TAG_NAME
462,4367,4367, ,TAG_WHITESPACE
463,4368,4372,class,TAG_NAME
464,4373,4373,=,TAG_EQUALS
465,4374,4478,"""d-flex justify-content-between flex-wrap flex-md-nowrap align-items-center pt-3 pb-2 mb-3 border-bottom""",ATTVALUE_VALUE
466,4479,4479,>,TAG_CLOSE
467,4480,4480,<,TAG_OPEN
468,4481,4482,h1,TAG_NAME
469,4483,4483, ,TAG_WHITESPACE
470,4484,4488,class,TAG_NAME
471,4489,4489,=,TAG_EQUALS
472,4490,4493,"""h2""",ATTVALUE_VALUE
473,4494,4494,>,TAG_CLOSE
474,4495,4503,Dashboard,HTML_TEXT
475,4504,4504,<,TAG_OPEN
476,4505,4505,/,TAG_SLASH
477,4506,4507,h1,TAG_NAME
478,4508,4508,>,TAG_CLOSE
479,4509,4509,<,TAG_OPEN
480,4510,4512,div,TAG_NAME
481,4513,4513, ,TAG_WHITESPACE
482,4514,4518,class,TAG_NAME
483,4519,4519,=,TAG_EQUALS
484,4520,4545,"""btn-toolbar mb-2 mb-md-0""",ATTVALUE_VALUE
485,4546,4546,>,TAG_CLOSE
486,4547,4547,<,TAG_OPEN
487,4548,4550,div,TAG_NAME
488,4551,4551, ,TAG_WHITESPACE
489,4552,4556,class,TAG_NAME
490,4557,4557,=,TAG_EQUALS
491,4558,4573,"""btn-group me-2""",ATTVALUE_VALUE
492,4574,4574,>,TAG_CLOSE
493,4575,4575,<,TAG_OPEN
494,4576,4581,button,TAG_NAME
495,4582,4582, ,TAG_WHITESPACE
496,4583,4586,type,TAG_NAME
497,4587,4587,=,TAG_EQUALS
498,4588,4595,"""button""",ATTVALUE_VALUE
499,4596,4596, ,TAG_WHITESPACE
500,4597,4601,class,TAG_NAME
501,4602,4602,=,TAG_EQUALS
502,4603,4636,"""btn btn-sm btn-outline-secondary""",ATTVALUE_VALUE
503,4637,4637,>,TAG_CLOSE
504,4638,4642,Share,HTML_TEXT
505,4643,4643,<,TAG_OPEN
506,4644,4644,/,TAG_SLASH
507,4645,4650,button,TAG_NAME
508,4651,4651,>,TAG_CLOSE
509,4652,4652, ,SEA_WS
510,4653,4653,<,TAG_OPEN
511,4654,4659,button,TAG_NAME
512,4660,4660, ,TAG_WHITESPACE
513,4661,4664,type,TAG_NAME
514,4665,4665,=,TAG_EQUALS
515,4666,4673,"""button""",ATTVALUE_VALUE
516,4674,4674, ,TAG_WHITESPACE
517,4675,4679,class,TAG_NAME
518,4680,4680,=,TAG_EQUALS
519,4681,4714,"""btn btn-sm btn-outline-secondary""",ATTVALUE_VALUE
520,4715,4715,>,TAG_CLOSE
521,4716,4721,Export,HTML_TEXT
522,4722,4722,<,TAG_OPEN
523,4723,4723,/,TAG_SLASH
524,4724,4729,button,TAG_NAME
525,4730,4730,>,TAG_CLOSE
526,4731,4731,<,TAG_OPEN
527,4732,4732,/,TAG_SLASH
528,4733,4735,div,TAG_NAME
529,4736,4736,>,TAG_CLOSE
530,4737,4737,<,TAG_OPEN
531,4738,4743,button,TAG_NAME
532,4744,4744, ,TAG_WHITESPACE
533,4745,4748,type,TAG_NAME
534,4749,4749,=,TAG_EQUALS
535,4750,4757,"""button""",ATTVALUE_VALUE
536,4758,4758, ,TAG_WHITESPACE
537,4759,4763,class,TAG_NAME
538,4764,4764,=,TAG_EQUALS
539,4765,4814,"""btn btn-sm btn-outline-secondary dropdown-toggle""",ATTVALUE_VALUE
540,4815,4815,>,TAG_CLOSE
541,4816,4823,Thisweek,HTML_TEXT
542,4824,4824,<,TAG_OPEN
543,4825,4825,/,TAG_SLASH
544,4826,4831,button,TAG_NAME
545,4832,4832,>,TAG_CLOSE
546,4833,4833,<,TAG_OPEN
547,4834,4834,/,TAG_SLASH
548,4835,4837,div,TAG_NAME
549,4838,4838,>,TAG_CLOSE
550,4839,4839,<,TAG_OPEN
551,4840,4840,/,TAG_SLASH
552,4841,4843,div,TAG_NAME
553,4844,4844,>,TAG_CLOSE
554,4845,4845,<,TAG_OPEN
555,4846,4846,p,TAG_NAME
556,4847,4847, ,TAG_WHITESPACE
557,4848,4849,id,TAG_NAME
558,4850,4850,=,TAG_EQUALS
559,4851,4855,"""ktx""",ATTVALUE_VALUE
560,4856,4856,>,TAG_CLOSE
561,4857,4872,$$\\frac{1}{2}$$,HTML_TEXT
562,4873,4873,<,TAG_OPEN
563,4874,4874,/,TAG_SLASH
564,4875,4875,p,TAG_NAME
565,4876,4876,>,TAG_CLOSE
566,4877,4877,<,TAG_OPEN
567,4878,4881,form,TAG_NAME
568,4882,4882, ,TAG_WHITESPACE
569,4883,4888,action,TAG_NAME
570,4889,4889,=,TAG_EQUALS
571,4890,4892,"""/""",ATTVALUE_VALUE
572,4893,4893, ,TAG_WHITESPACE
573,4894,4901,onsubmit,TAG_NAME
574,4902,4902,=,TAG_EQUALS
575,4903,4948,"""connect('file_index_connect'); return false;""",ATTVALUE_VALUE
576,4949,4949,>,TAG_CLOSE
577,4950,4950,<,TAG_OPEN
578,4951,4955,input,TAG_NAME
579,4956,4956, ,TAG_WHITESPACE
580,4957,4960,type,TAG_NAME
581,4961,4961,=,TAG_EQUALS
582,4962,4969,"""submit""",ATTVALUE_VALUE
583,4970,4974,value,TAG_NAME
584,4975,4975,=,TAG_EQUALS
585,4976,4987,"""indexFiles""",ATTVALUE_VALUE
586,4988,4988,>,TAG_CLOSE
587,4989,4989,<,TAG_OPEN
588,4990,4990,/,TAG_SLASH
589,4991,4994,form,TAG_NAME
590,4995,4995,>,TAG_CLOSE
591,4996,4996,<,TAG_OPEN
592,4997,4999,div,TAG_NAME
593,5000,5000, ,TAG_WHITESPACE
594,5001,5002,id,TAG_NAME
595,5003,5003,=,TAG_EQUALS
596,5004,5012,"""counter""",ATTVALUE_VALUE
597,5013,5013,>,TAG_CLOSE
598,5014,5014,<,TAG_OPEN
599,5015,5015,/,TAG_SLASH
600,5016,5018,div,TAG_NAME
601,5019,5019,>,TAG_CLOSE
602,5020,5020,<,TAG_OPEN
603,5021,5023,div,TAG_NAME
604,5024,5024, ,TAG_WHITESPACE
605,5025,5029,class,TAG_NAME
606,5030,5030,=,TAG_EQUALS
607,5031,5043,"""input-group""",ATTVALUE_VALUE
608,5044,5044,>,TAG_CLOSE
609,5045,5045,<,TAG_OPEN
610,5046,5048,div,TAG_NAME
611,5049,5049, ,TAG_WHITESPACE
612,5050,5054,class,TAG_NAME
613,5055,5055,=,TAG_EQUALS
614,5056,5076,"""input-group-prepend""",ATTVALUE_VALUE
615,5077,5077,>,TAG_CLOSE
616,5078,5078,<,TAG_OPEN
617,5079,5082,span,TAG_NAME
618,5083,5083, ,TAG_WHITESPACE
619,5084,5088,class,TAG_NAME
620,5089,5089,=,TAG_EQUALS
621,5090,5107,"""input-group-text""",ATTVALUE_VALUE
622,5108,5108,>,TAG_CLOSE
